"Multi-year sea ice area in Canadian Arctic sub-regions, 1968 to 2018",,,,,
,,,,,
Year,Foxe Basin multi-year sea ice area (thousands of square kilometres),Kane Basin multi-year sea ice area (thousands of square kilometres),Baffin Bay multi-year sea ice area (thousands of square kilometres),Beaufort Sea multi-year sea ice area (thousands of square kilometres),Canadian Arctic Archipelago multi-year sea ice area (thousands of square kilometres)
1968,1.58,17,8,216,244
1969,0.14,23,28,319,289
1970,0.32,14,23,234,243
1971,0.83,16,16,256,201
1972,3.77,14,11,181,243
1973,0.88,19,15,202,301
1974,0.18,16,6,285,190
1975,0.45,16,5,374,235
1976,2.46,17,9,350,247
1977,0.16,14,15,181,293
1978,4.16,14,9,240,281
1979,5.88,15,10,213,383
1980,0.26,18,8,291,354
1981,0.35,16,18,213,237
1982,0.22,12,16,140,201
1983,3.91,21,44,252,255
1984,0.57,14,16,287,211
1985,0.43,13,2,271,207
1986,1.09,11,9,265,253
1987,0.77,13,8,190,346
1988,0.66,10,8,253,308
1989,0.24,17,10,245,273
1990,0.79,17,51,260,288
1991,1.74,6,7,340,313
1992,1.49,28,12,320,318
1993,1.37,24,60,190,328
1994,3.85,20,13,281,279
1995,0.65,17,43,203,233
1996,0.67,18,48,344,260
1997,0.21,22,22,255,320
1998,0.02,17,32,103,240
1999,0.4,13,13,205,102
2000,0.16,15,8,239,151
2001,0.03,17,12,308,232
2002,<0.01,18,10,229,228
2003,0.11,14,8,232,263
2004,0.25,18,16,205,294
2005,0.39,14,7,240,295
2006,0.26,13,12,254,208
2007,0,13,27,163,168
2008,0.04,11,17,79,152
2009,0.06,9,10,164,168
2010,0.02,14,27,134,169
2011,0,12,9,111,119
2012,0.1,13,4,77,106
2013,0.16,12,5,146,131
2014,0.22,11,5,178,212
2015,0.13,15,12,191,172
2016,<0.01,15,5,89,177
2017,0.06,16,16,60,220
2018,0.56,17,22,234,246
1968 to 2018 decadal trend,-18.50%,-3.40%,No trend,-8.80%,-6.50%
,,,,,
"Note: Sea ice is measured during the summer season. For the Canadian Arctic domain, the summer season is defined as the period from June 25 to October 15. A statistically significant trend is reported when the Mann-Kendall test indicated the presence of a trend at the 95% confidence level.",,,,,
Source: Environment and Climate Change Canada (2018) Climate Research Division.,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,
